Row ID,Order ID,Order Date,Customer Name,Country,City,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Unit Price ,Quantity, Profit ,Year,Month
1,CA-2016-152156,11/8/2016,Claire Gute,Kentucky,Henderson,42420,SOUTH,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.00 ,2,$522.00 ,2016,November
2,CA-2016-152156,11/9/2016,Claire Gute,Kentucky,Henderson,42420,SOUTH,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94 ,3,"$2,195.82 ",2016,November
3,CA-2016-138688,11/10/2016,Darrin Van Huff,California,Los Angeles,90036,WEST,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62 ,2,$29.24 ,2016,June
4,US-2015-108966,11/11/2016,Sean O'Donnell,Florida,Fort Lauderdale,33311,SOUTH,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58 ,5,"$4,787.89 ",2015,October
5,US-2015-108966,11/12/2016,Sean O'Donnell,Florida,Fort Lauderdale,33311,SOUTH,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37 ,2,$44.74 ,2015,October
6,CA-2014-115812,11/13/2016,Brosina Hoffman,California,Los Angeles,90032,WEST,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86 ,7,$342.02 ,2014,June
7,CA-2014-115812,11/14/2016,Brosina Hoffman,California,Los Angeles,90032,WEST,OFF-AR-10002833,Office Supplies,Art,Newell 322,$7.28 ,4,$29.12 ,2014,June
8,CA-2014-115812,11/15/2016,Brosina Hoffman,California,Los Angeles,90032,WEST,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15 ,6,"$5,442.91 ",2014,June
9,CA-2014-115812,11/16/2016,Brosina Hoffman,California,Los Angeles,90032,WEST,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50 ,3,$55.51 ,2014,June
10,CA-2014-115812,11/17/2016,Brosina Hoffman,California,Los Angeles,90032,WEST,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90 ,5,$574.50 ,2014,June
11,CA-2014-115812,11/18/2016,Brosina Hoffman,California,Los Angeles,90032,WEST,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18 ",9,"$15,355.66 ",2014,June
12,CA-2014-115812,11/19/2016,Brosina Hoffman,California,Los Angeles,90032,WEST,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911.42 ,4,"$3,645.70 ",2014,June
13,CA-2017-114412,11/20/2016,Andrew Allen,North Carolina,Concord,28027,SOUTH,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,$15.55 ,3,$46.66 ,2017,April
14,CA-2016-161389,11/21/2016,Irene Maddox,Washington,Seattle,98103,WEST,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98 ,3,"$1,223.93 ",2016,December
15,US-2015-118983,11/22/2016,Harold Pawlan,Texas,Fort Worth,76106,CENTRAL,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81 ,5,$344.05 ,2015,November
16,US-2015-118983,11/23/2016,Harold Pawlan,Texas,Fort Worth,76106,CENTRAL,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54 ,3,$7.63 ,2015,November
17,CA-2014-105893,11/24/2016,Pete Kriz,Wisconsin,Madison,53711,CENTRAL,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88 ,6,"$3,995.28 ",2014,November
18,CA-2014-167164,11/25/2016,Alejandro Grove,Utah,West Jordan,84084,WEST,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50 ,2,$111.00 ,2014,May
19,CA-2014-143336,11/26/2016,Zuschuss Donatelli,California,San Francisco,94109,WEST,OFF-AR-10003056,Office Supplies,Art,Newell 341,$8.56 ,2,$17.12 ,2014,August
20,CA-2014-143336,11/27/2016,Zuschuss Donatelli,California,San Francisco,94109,WEST,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,$213.48 ,3,$640.44 ,2014,August
21,CA-2014-143336,11/28/2016,Zuschuss Donatelli,California,San Francisco,94109,WEST,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72 ,4,$90.88 ,2014,August
22,CA-2016-137330,11/29/2016,Ken Black,Nebraska,Fremont,68025,CENTRAL,OFF-AR-10000246,Office Supplies,Art,Newell 318,$19.46 ,7,$136.22 ,2016,December
23,CA-2016-137330,11/30/2016,Ken Black,Nebraska,Fremont,68025,CENTRAL,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34 ,7,$422.38 ,2016,December
24,US-2017-156909,12/1/2016,Sandra Flanagan,Pennsylvania,Philadelphia,19140,EAST,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37 ,2,$142.74 ,2017,July
25,CA-2015-106320,12/2/2016,Emily Burns,Utah,Orem,84057,WEST,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63 ",3,"$3,133.89 ",2015,September
26,CA-2016-121755,12/3/2016,Eric Hoffmann,California,Los Angeles,90049,WEST,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65 ,2,$23.30 ,2016,January
27,CA-2016-121755,12/4/2016,Eric Hoffmann,California,Los Angeles,90049,WEST,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$90.57 ,3,$271.71 ,2016,January
28,US-2015-150630,12/5/2016,Tracy Blumstein,Pennsylvania,Philadelphia,19140,EAST,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43 ",7,"$21,584.01 ",2015,September
29,US-2015-150630,12/6/2016,Tracy Blumstein,Pennsylvania,Philadelphia,19140,EAST,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62 ,2,$19.24 ,2015,September
30,US-2015-150630,12/7/2016,Tracy Blumstein,Pennsylvania,Philadelphia,19140,EAST,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124.20 ,3,$372.60 ,2015,September
31,US-2015-150630,12/8/2016,Tracy Blumstein,Pennsylvania,Philadelphia,19140,EAST,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26 ,2,$6.53 ,2015,September
32,US-2015-150630,12/9/2016,Tracy Blumstein,Pennsylvania,Philadelphia,19140,EAST,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30 ,6,$517.82 ,2015,September
33,US-2015-150630,12/10/2016,Tracy Blumstein,Pennsylvania,Philadelphia,19140,EAST,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",$6.86 ,6,$41.15 ,2015,September
34,US-2015-150630,12/11/2016,Tracy Blumstein,Pennsylvania,Philadelphia,19140,EAST,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,$15.76 ,2,$31.52 ,2015,September
35,CA-2017-107727,12/12/2016,Matt Abelman,Texas,Houston,77095,CENTRAL,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,$29.47 ,3,$88.42 ,2017,October
36,CA-2016-117590,12/13/2016,Gene Hale,Texas,Richardson,75080,CENTRAL,TEC-PH-10004977,Technology,Phones,GE 30524EE4,"$1,097.54 ",7,"$7,682.81 ",2016,December
37,CA-2016-117590,12/14/2016,Gene Hale,Texas,Richardson,75080,CENTRAL,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92 ,5,$954.60 ,2016,December
38,CA-2015-117415,12/15/2016,Steve Nguyen,Texas,Houston,77041,CENTRAL,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$113.33 ,9,"$1,019.95 ",2015,December
39,CA-2015-117415,12/16/2016,Steve Nguyen,Texas,Houston,77041,CENTRAL,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40 ,3,"$1,597.20 ",2015,December
40,CA-2015-117415,12/17/2016,Steve Nguyen,Texas,Houston,77041,CENTRAL,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06 ,3,$636.17 ,2015,December
41,CA-2015-117415,12/18/2016,Steve Nguyen,Texas,Houston,77041,CENTRAL,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17 ,4,"$1,484.67 ",2015,December
42,CA-2017-120999,12/19/2016,Linda Cazamias,Illinois,Naperville,60540,CENTRAL,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$147.17 ,4,$588.67 ,2017,September
43,CA-2016-101343,12/20/2016,Ruben Ausman,California,Los Angeles,90049,WEST,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88 ,2,$155.76 ,2016,July
44,CA-2017-139619,12/21/2016,Erin Smith,Florida,Melbourne,32935,SOUTH,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62 ,2,$191.23 ,2017,September
45,CA-2016-118255,12/22/2016,Odella Nelson,Minnesota,Eagan,55122,CENTRAL,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98 ,2,$91.96 ,2016,March
46,CA-2016-118255,12/23/2016,Odella Nelson,Minnesota,Eagan,55122,CENTRAL,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46 ,2,$34.92 ,2016,March
47,CA-2014-146703,12/24/2016,Patrick O'Donnell,Michigan,Westland,48185,CENTRAL,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96 ,4,$847.84 ,2014,October
48,CA-2016-169194,12/25/2016,Lena Hernandez,Delaware,Dover,19901,EAST,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45.00 ,3,$135.00 ,2016,June
